Name,Mass
C3H7,43.054775
Carboxylation_CO2,43.98983
C2H4O1,44.026215
C3H8,44.0626
C4H12O_1,44.098985
H_1N1O2,44.985079
CHO2,44.997654
C2H3N_1O2,45.010231
CH3NO,45.021464
C2H5O1,45.03404
C2H7N1,45.057849
H_2O3,45.969095
C1H2O2,46.00548
C2H6O1,46.041865
H1O2N1,47.000729
C1H5N1O_1S1,47.019356
O1S1,47.966987
O3,47.984745
C4,48
C1H4S1,48.003372
C1H4O2,48.02113
C2H8O,48.057515
H1O3,48.99257
C1H5O2,49.028955
H2O3,50.000379
C4H2,50.01565
C3H2N2O_1,50.026883
CH6O2,50.036757
C4H5N1O_1,51.047284
C3H13N7O_6,51.153753
C3O,51.994927
H4O3,52.016012
C4H4,52.0313
C3H4N2O_1,52.042533
C5H8O_1,52.067685
C2H_1O_1N1S1,52.972406
C3H3N,53.026581
C5H7N_1,53.051701
C_2H_2O1S2,53.923409
C2H_2O2,53.974182
C3H2O1,54.010565
C4H6,54.046947
C3H3O1,55.01839
C7H5N1O_3,55.057454
CH_4O3,55.953422
glyoxylate (-H2O),55.989829
C3H4O1,56.026215
C2H4N2,56.037448
C4H8,56.062585
Glycine,57.021464
acetone (-H),57.03404
C3H7N1,57.05784
C1H_1o1,57.9253
C2H2O2,58.00548
C1H2N2O1,58.016713
C3H6O1,58.041864
C3H8N1,58.065674
C3H10N2O_1,58.089483
CH3COO-,59.013305
C2H5N1O_1S1,59.019356
urea addition (-H),59.024538
C2H5N1O1,59.037114
CO3,59.984729
C2H4O2,60.021129
C1H4N2O1,60.032363
C3H8O1,60.057489
C3H10N1,60.081324
C1H3N1S1,60.998621
C1H3N1O2,61.016379
C2H7O1N1,61.052764
C1H7N3,61.063997
NO3-,61.987819
C1H2O3,62.000376
C2H6S1,62.019022
C2H6O2,62.036765
C4H3O_1N2,63.034708
O2S1,63.961902
O4,63.97966
C4O,63.994945
C1H1O2F1,63.996
C1H4O1S1,63.998287
C1H4O3,64.016034
C5H4,64.0313
C4H3N1,65.026549
H2O2S1,65.977552
H2O4,65.99531
C4H2O,66.010585
C4O2,66.031707
C5H6,66.046935
H1C2N3,67.017047
C5H5N_1O1,67.030966
C4H5N1,67.042199
isoprene addition (-H),67.054775
C3O2,67.989843
C4H4O1,68.026215
C5H8,68.0626
C4H6N1O2S_1,68.067782
C3H3N1O1,69.021452
C4H7N1,69.057849
CH_2O3,69.9691
C3H2O2,70.00548
C4H6O1,70.041867
C4H10N2O_1,70.089483
C6H14O_1,70.114635
C2H1N1O2,71.000729
C3H3O2,71.013305
Alanine,71.037114
C4H9N1,71.073499
C5H13O_1N1,71.109884
C2O3,71.984745
C3H4O2,72.021131
C4H8O1,72.057515
C4H12N2O_1,72.105133
C2H3N1O2,73.016379
C3H7O1N1,73.052761
C2H2O3,74.000388
C3H6O2,74.03678
C4H10O,74.073184
C8H10O_2,74.08842
C2H5N1O2,75.032029
C6H5N1O_1,75.047284
C1H_2N_1O5,75.955851
C2H4O3,76.016045
C6H4,76.0313
C5H3N1,77.026549
C1H7N3O1,77.058912
CH2O4,77.995309
C5H2O,78.010626
C2H6O3,78.031687
C5H4N1,78.034374
C5H8N3O_2,78.081992
H_1O3S1,78.948992
C5H5N1,79.042199
O3S1,79.956817
C5H4O1,80.026215
C6H8,80.0626
H1O3S1,80.964642
H3N1O2S1,80.988451
C5H7N1,81.057849
C6H11O_1N1,81.094234
H2O3S1,81.972467
C4H2O2,82.00548
C5H6O1,82.041872
C5H9N1,83.073499
C3O3,83.98474
acetotacetate_(_H2O)_C4H4O2,84.021137
C4H4O4S_1,84.038888
C5H8O1,84.057515
C3H3N1O2,85.016379
C4H7N1O1,85.052738
malonyl_group_(_H2O)_C3H2O3,86.000421
C4H6O2,86.03678
C5H10O1,86.073165
C5H12N1,86.096974
C6H14,86.10955
C7H1N_1O1,86.999666
Serine,87.032028
C4H9O1N1,87.068414
C3H4O3,88.016045
C7H4,88.0313
C3H6N1O2,88.039854
C4H8O2,88.052422
C3H3N_1O4,89.000061
C6H3N1,89.026549
C3H7N1O2,89.047679
C7H7O_1N1,89.062934
C2H2O4,89.995294
C3H6O3,90.031695
C2O2H6N2,90.042928
C7H6,90.04695
C6H5N1,91.042199
C2H4O4,92.010938
C6H4O1,92.026215
C3H8O3,92.047367
C7H8,92.0626
C5H3N1O1,93.021464
C4H3N3,93.032697
C6H7N1,93.057849
C5H7N3O_1,93.069082
C5H2O2,94.00548
C4H2O1N2,94.016713
C2H6O4,94.026603
C1H5O_1N1S1e1,94.9638
C5H5N1O1,95.037114
SO42-,95.951732
C4O3,95.984745
C5H4O2,96.02113
C4H4N2O1,96.032363
C6H8O,96.057515
H_1N_1O3S2,96.91799
H3O3N1S1,96.983366
C4H3O2N1,97.016379
C4H2O3,98.000395
C5H6O2,98.03678
C6H10O1,98.073165
C4H5N1O2,99.032029
C8H5N1O_1,99.047284
Valine,99.068414
C4H4O3,100.016045
C5H8O2,100.05243
C4H8O1N2,100.063663
C3H3O3N1,101.011294
Threonine_C4H7NO2,101.047679
C5H11N1O1,101.084064
C4H6O1S1,102.013937
erythose (-H2O),102.031695
C5H2O_1N4,102.033031
C5H10O2,102.06808
C6H14O1,102.104465
C6H1N1O1,103.005814
Cysteine,103.009186
C8H9N1O_1,103.078584
C6O2,103.98983
C3H4O4,104.01096
C7H4O1,104.026215
C6H4N2,104.037448
C4H8O3,104.047345
C8H8,104.0626
C6H3N1O1,105.021464
C3H7N1O1S1,105.024836
C6H5N2,105.045273
C4H11N1O2,105.078979
C3H6O4,106.02664
C6H4O1N1,106.029289
C2H5O2N1S1,107.004101
C6H5N1O1,107.037114
C7H9N1,107.073499
C6H4O2,108.02113
C3H8O4,108.042293
C7H8O1,108.057515
C8H12,108.0939
C5H3O2N1,109.016379
C2H7O2N1S1,109.019751
C6H7O1N1,109.052764
C5H2O3,110.000454
cytosine (-H),110.035437
C6H6O2,110.03678
C5H6O1N2,110.048013
C7H10O1,110.073165
C1H1N_1O3S2,110.93364
C3H1N3O2,111.006877
uracil_(_H)_C4H3N2O2,111.019453
S2O32-,111.928889
C5H4O3,112.016045
C4H4N2O2,112.027278
C6H8O2,112.052473
C5H12N4O_1,112.111281
C8H16,112.1252
H1S2O3,112.936714
C5H7N1O2,113.047679
Isoleucine,113.084064
C4H2O4,113.99531
C4H3F1N2O1,114.022941
C5H6O3,114.031695
Asparagine,114.042928
C6H10O2,114.06808
C5H10N2O1,114.079313
Aspartic_Acid_C4H5NO3,115.026944
C5H7O3,115.03952
C8H5N1,115.042199
C5H9N1O2,115.063329
C4H4O4,116.01096
C3H4N2O3,116.022193
C5H8O1S1,116.029587
C5H8O3,116.047345
C8H8O_1N2,116.073833
C5H12O1N2,116.094963
C4H7N1O1S1,117.024836
C4H7O3N1,117.042594
C5H3N5O_1,117.04393
C8H7N1,117.057849
C3H2O5,117.990225
C4H6O4,118.02661
C5H2N4,118.027946
C8H6O1,118.041865
C9H10,118.07825
C3H5N1O2S1,119.004101
C7H5N1O1,119.037114
C6H5N3,119.048347
C5H5N5O_1,119.05958
C7H4O2,120.02113
C6H4N2O1,120.032363
C3H8O1N2S1,120.035735
C4H8O4,120.042334
C8H8O1,120.057515
C6H3N1O2,121.016379
C3H7N1O2S1,121.019751
C8H11N1,121.089149
C2H2O4S1,121.967382
C7H6O2,122.03678
C6H8N3,122.071822
C8H10O1,122.073165
C5H1N1O3,122.995644
C6H7N2O1,123.055838
C8H13N1,123.104799
C2H4O2S2,123.965274
C6H4O3,124.016172
C6H6N1O2,124.039854
C2H3N_1O3S2,124.94929
C4H3N3O2,125.022527
thymine_(_H)_C5H5N2O2,125.035103
C6H6O3,126.031695
C6H8N1S1,126.037746
C5H6N2O2,126.042928
C6H10N2O1,126.079313
C5H10N4,126.090546
C8H14O1,126.104465
C5H5O3N1,127.026944
C6H9O2N1,127.063329
C7H17N3O_1,127.147332
C5H4O4,128.01096
C6H8O3,128.047345
Glutamine,128.058578
Lysine,128.094963
Glutamic_Acid_C5H7NO3,129.042594
C6H11N1O2,129.078979
C7H19N3O_1,129.162982
C2H_6O7,129.917455
C5H6O4,130.02661
C9H6O1,130.041865
C6H10O3,130.062995
C10H10,130.07825
C6H14O1N2,130.110613
C7H16N1O1,130.123189
C8H5O1N1,131.037114
Methionine,131.040486
C5H9N1O3,131.058244
C6H5O_1N5,131.05958
C4H4O5,132.005875
C8H4O2,132.02113
pentose_C5H8O4,132.04226
C9H8O1,132.057515
C8H8N2,132.068748
C10H12,132.0939
C7H3N1O2,133.016379
C4H7N1O2S1,133.019751
C5H3N5,133.038845
C5H9O4,133.050085
C8H7N1O1,133.052764
C5H2O1N4,134.022861
C8H6O2,134.03678
adenine (-H),134.04667
C4H10O1N2S1,134.051385
C5H10O4,134.05791
C8H8N1O1,134.060589
C7H5N1O2,135.032029
C4H9N1O2S1,135.035401
C8H9N1O1,135.068414
C2O7,135.964405
C4H8O5,136.037175
C5H4O1N4,136.038511
C8H8O2,136.05243
C9H12O1,136.088815
C10H16,136.1252
C7H7N1O2,137.047679
Histidine,137.058912
C7H6O3,138.031695
C6H6N2O2,138.042928
C9H14O1,138.104465
C2H4O3S2,139.960189
C6H4O4,140.01096
C7H8O3,140.047488
C8H14N1O1,140.107539
C8H15N1O1,141.115364
C8H19N3O_1,141.162982
C2H6O3S2,141.975839
C10H6O1,142.041865
C7H10O3,142.062995
C6H10N2O2,142.074228
C11H10,142.07825
C10H10N2O_1,142.089483
C6H9N1O3,143.058244
C10H9N1,143.073499
C7H13N1O2,143.094629
C6H8O4,144.04226
C5H8N2O3,144.053493
C10H8O1,144.057515
C7H12O1S1,144.060887
C7H12O3,144.078645
C5H7N1O4,145.037509
C9H6O2,146.03678
C6H10O4,146.05791
C10H10O1,146.073165
C7H1N1O3,146.995644
C8H5N1O2,147.032029
C8H4O3,148.016045
C5O5H8,148.037175
C9H8O2,148.05243
C6H12O4,148.07356
C10H12O1,148.088815
C6H5O1N4,149.046336
C8H7N1O2,149.047679
C9H11N1O1,149.084064
C5H2N4S1,150.000018
C8H6O3,150.031695
guanine (-H),150.041585
C5H10O5,150.052825
C6H6O1N4,150.054161
C9H10O2,150.06808
C10H14O1,150.104465
C7H5N1O3,151.026944
C7H9N3O1,151.074562
C3H8O1N2S2,152.007807
C7H4O4,152.01096
C8H8O3,152.047345
C6H8N4O1,152.069811
C10H16O1,152.120115
C3H6O5S1,153.993597
C11H6O1,154.041865
C10H18O1,154.135765
C8H13O2N1,155.094629
C7H8O4,156.04226
Arginine,156.101111
C6H7N1O4,157.037509
C10H7N1O1,157.052764
C7H11O3N1,157.073894
C6H11N3O2,157.085127
C8H15N1O2,157.110279
C6H6O5,158.021525
C10H6O2,158.03678
C7H10O4,158.05791
C10H10N2,158.084398
C6H14O1N4,158.116761
C6H9N1O4,159.053159
C5H8N2O2S1,160.03065
C6H8O5,160.037175
C7H12O4,160.07356
N3O2C6H14,160.108602
C13H20O_1,160.161585
C6H11N1O4,161.068809
C9H6O3,162.031695
C6H10O3S1,162.035067
C6H10O5,162.052824
C10H10O2,162.06808
C6H11O5,163.06065
Tyrosine,163.063329
C10H13N1O1,163.099714
C5H12N2S2,164.044192
C6H12O5,164.068475
C7H8O1N4,164.069811
C10H12O2,164.08373
C12H20,164.1565
C9H11N1O2,165.078979
C8H10N2S1,166.05647
C9H10O3,166.062995
C10H14O2,166.09938
C9H13N1O2,167.094629
C6H3N1O3S1,168.983366
C10H8N2O1,172.063663
C7H12N2O3,172.084793
C9H16O3,172.109945
C8H15N1O3,173.105194
C6H6O6,174.01644
C7H10O5,174.052825
C8H14O4,174.08921
C6H14O2N4,174.111676
C9H5N1O3,175.026944
C7H13N1O4,175.084459
C4O8,175.95932
Glucuronic Acid_(-H2O)_C6H8O6,176.032088
C10H8O3,176.047345
C7H12O5,176.068475
C9H7N1O3,177.042594
C7H7N5O1,177.06506
C6H10O6,178.047738
C9H9N1O3,179.058244
glucose_C6H12O6,180.06339
C10H12O3,180.078645
C10H15O2N1,181.110279
C8H10O1N2S1,182.051385
C13H10O1,182.073165
C10H14O3,182.094295
C12H22O1,182.167065
C7H9O3N3,183.064392
C8H13N3O2,183.100777
C7H4O4S1,183.983032
C7H4O6,184.00079
C8H12N2O3,184.084793
C10H24N4O_1,184.205181
C10H11O_1N5,185.10653
C11H6O3,186.031695
Tryptophan,186.079313
C8H14N2O3,186.100443
C8H13N1O4,187.084459
C7H13N3O3,187.095692
C8H12O1S2,188.032959
C11H8O3,188.047345
C12H12O2,188.08373
C10H7N1O3,189.042594
C10H10O2N2,190.074228
C14H22,190.17215
C10H8O4,192.04226
C7H12O6,192.06339
C11H12O3,192.078645
C12H16O2,192.11503
C7H3N3O4,193.012357
C9H7N1O4,193.037509
C9H11O2N3,193.085127
C9H6O5,194.021525
C9H8N1O4,194.045334
C11H18N2O1,194.141913
C15H30O_1,194.239835
C9H9N1O4,195.053159
C7H9O2N5,195.075625
C9H13O2N3,195.100777
C6H12O7,196.058305
C8H10N2O2S1,198.0463
C8H13N3O3,199.095692
C12H8O3,200.047345
C12H24O2,200.17763
C9H15N1O4,201.100109
C10H11N5,201.101445
C8H14N2O2S1,202.0776
C8H14N2O4,202.095358
C10H18O4,202.12051
C11H9N1O3,203.058244
glcnac_C8H13N1O5,203.079374
C10H13N5,203.117095
C10H4O5,204.005875
C11H8O4,204.04226
C15H24,204.1878
C10H11N3S1,205.067369
C9H11O1N5,205.09636
C6H6O8,206.00627
C11H10O4,206.05791
C10H10O3N2,206.069143
C8H14O6,206.07904
C14H8O2,208.05243
C14H26O1,210.198365
C12H20O3,212.141245
C13H10O3,214.062995
C12H10N2O2,214.074228
C12H8S2,216.006744
C8H11N1O6,217.058639
C6H3I1O1,217.9228
C12H10O4,218.05791
C15H22O1,218.167065
C12H11O4,219.065735
C8H12O7,220.058305
C13H16O3,220.109945
C14H20O2,220.14633
C16H28,220.2191
C8H15O6N1,221.089939
Cystine,222.013286
C15H26O1,222.198365
C17H34O_1,222.271135
C12H17O3N1,223.120844
C12H8N4O1,224.069811
thymidine (-H2O),224.079707
C12H16O4,224.10486
C15H28O1,224.214015
C6H10O7S1,226.014727
uridine (-H2O),226.058972
biotinyl (-H2O),226.0776
C14H26O2,226.19328
C18H26O_1,226.208535
C10H16N2O4,228.111008
C19H32O_2,228.26057
C8H10N2O6,230.053888
C9H14N2O5,230.090273
C8H12N2O4S1,232.05178
C19H36O_2,232.29187
C15H22O2,234.16198
C19H38O_2,234.30752
C8H12O8,236.05322
C19H26O_1,238.208535
palmitoylation (-H2O),238.229666
C11H12O6,240.06339
C18H24,240.1878
C16H32O1,240.245315
C11H18N2O4,242.126658
C18H26,242.20345
biotinyl (-H),243.080339
C12H20O5,244.131075
C10H15O6N1,245.089939
C9H14N2O4S1,246.06743
C15H18O3,246.125595
C8H12N2O5S1,248.046695
C16H24O2,248.17763
C9H15N1O5S1,249.067096
adenosine (-H2O),249.086189
C10H12N5O3,250.094015
C15H8O4,252.04226
C17H16O2,252.11503
C15H24O3,252.172545
C20H28O_1,252.224185
C13H6N2O4,254.032758
C10H10O4N2S1,254.03613
C18H22O1,254.167065
C16H17O2N1,255.125929
C18H24O1,256.182715
C10H14N2O6,258.085188
C13H14O2N4,258.111676
C13H16N4O2,260.127326
C16H20O3,260.141245
C18H28O1,260.214015
C18H30O1,262.229665
C11H8N2O4S1,264.02048
C10H16O8,264.08452
C18H32O1,264.245315
guanosine (-H2O),265.081104
C18H34O1,266.260965
C16H13N1O3,267.089544
C17H17O2N1,267.125929
C10H8O3N2S2,267.997637
C20H12O1,268.088815
C20H28,268.2191
C17H19O2N1,269.141579
C19H10O2,270.06808
C19H26O1,270.198365
C10H10F1N3O5,271.06045
C19H28O1,272.214015
C20H32,272.2504
C14H10O2S2,274.012224
C11H17N1O7,275.100504
C14H15O5N1,277.095024
C14H14O6,278.07904
C20H38,278.29735
C11H13N5O2S1,279.078997
C18H14N1F1O1,279.105942
C18H19O2N1,281.141579
C17H17N1O3,283.120844
C15H8O6,284.03209
C16H12O5,284.068475
C20H28O1,284.214015
C11H14N2O7,286.080103
C20H30O1,286.229665
C21H34,286.26605
C17H21O3N1,287.152144
C18H8O4,288.04226
C20H32O1,288.245315
glutathione (-H2O),289.073243
C20H34O1,290.260965
C11H17N1O8,291.095419
C6H12O9S2,291.992279
C12H20O8,292.11582
C20H36O1,292.276615
C5H_6O15,293.876775
C11H18O9,294.095085
C19H22O1N2,294.173213
C20H38O1,294.292265
C14H12N6O2,296.102174
C11H15N5O3S1,297.089562
C18H19N1O3,297.136494
C19H25N1O2,299.188529
C17H18O5,302.115425
C15H12O7,304.058305
C10H16N4O5S1,304.084143
C10H15N3O6S1,305.068159
C12H23O6N3,305.158687
C18H10O5,306.052825
C10H17N3O6S1,307.083809
neugc_C11H17N1O9,307.090318
C18H12O5,308.068475
C15H16O7,308.089605
C12H20O9,308.110735
C20H24O1N2,308.188863
C19H20N1O3,310.144319
C22H30O1,310.229665
C19H21O3N1,311.152144
C22H32O1,312.245315
C16H10O7,314.042655
C22H34O1,314.260965
C12H12O10,316.04305
C20H18O2N2,318.136828
C20H30O3,318.219495
C21H34O2,318.25588
C22H38O1,318.292265
C22H40O1,320.307915
C6H11O10N1S2,320.982443
C22H42O1,322.323565
C12H21N1O9,323.121634
C20H21N1O3,323.152144
C18H12O6,324.06339
C15H16O8,324.08452
C12H20O10,324.10565
C17H12O7,328.058305
C21H20O2N2,332.152478
C11H14N2O6S2,334.029332
C21H24N2O2,336.183778
C15H17N1O8,339.095419
C18H12O7,340.058305
disaccharide (-H2O),340.100562
C25H40,340.313
C18H14O7,342.073955
C6H2I2O1,343.8195
C27H36O_1,344.286785
C6H4I2O1,345.8352
C12H10O12,346.01723
C12H17N3O7S1,347.078724
C16H28O8,348.17842
C24H44O1,348.339215
C21H22O3N2,350.163043
C25H34O1,350.260965
C24H46O1,350.354865
C12H16O12,352.06418
C21H23O4N1,353.162709
C18H14N2O6,354.085188
C14H17O6N3S1,355.083809
C18H30O7,358.199155
C14H20N2O9,360.116883
C24H40O2,360.30283
C14H23O10N1,365.132199
C27H44,368.3443
C17H22O9,370.126385
C22H18N2O4,374.126658
C24H38O3,374.282095
C27H44O1,384.339215
C10H15N3O6S2e1,384.9847
C24H38O4,390.27701
C27H40O2,396.30283
C30H40,400.313
C30H48,408.3756
C18H24O11,416.131865
C24H32O6,416.21989
C17H32N6O4S1,416.220576
C27H44O3,416.329045
C23H35N1O4S1,421.228681
C19H19O5N7,425.144768
C19H21N7O5,427.160418
C18H34N6O4S1,430.236226
C27H44O4,432.32396
C27H18O6,438.11034
C35H46O_1,450.365035
C30H44O3,452.329045
C22H27O4N7,453.212453
C18H30O13,454.168645
C20H21N7O6,455.155333
C25H32N2O6,456.226038
C18H30O14,470.16356
C20H39N7O4S1,473.278425
C35H56,476.4382
C32H60O2,476.45933
C25H38N2O5S1,478.250145
C17H28N2O12S1,484.1363
C17H30O12N2S1,486.15195
trisaccharide (-H2O),486.158471
C18H30O15,486.158475
C28H30O4N4,486.226706
C23H21O11N3,515.117612
C21H25N1O14,515.127509
C46H78N_2O_5,522.629627
C27H27O10N1,525.163499
C18H28O18,532.12757
C29H31O9N1,537.199884
C40H64,544.5008
C28H51N1O9,545.356384
C29H31O10N1,553.194799
C21H41N5O12,555.275175
C34H32O4N4,560.242356
C27H20N2O12,564.101628
S2O9C20H32N6,564.167223
C44H72O_2,568.57357
C35H32O4M1g1N4,596.2274
C23H43O13N5,597.28574
C35H30O5M1g1N4,610.2067
C45H72,612.5634
C34H63N1O8,613.455369
C27H24O17,620.101355
C30H32N2O13,628.190443
C24H40O20,648.2113
C50H80,680.626
C39H60O10,688.41865
C39H60O11,704.413565
C34H42O14N4,730.269756
C39H42O11N4,742.285011
co-enzyme A (-H2O),748.096826
co-enzyme A (-H),765.099566
C30H50O25,810.264125
C43H50O15N4,862.327271
C45H72O16,868.48204
C41H60N12O10,880.455538
C46H63N10O7o1,914.4213
C44H48O15o1N4,919.2448
C44H49O15o1N4,920.2527
C36H60O30,972.31695
C51H80O22,1044.51413
C56H75N15O10o1,1164.5154
C60H64O28,1232.35842
