C,H,O,N,C13,S,P,El_comp,Class,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,molecular formula,outline,specifics,MSCC
12,14,3,0,0,0,0,CHO,Lignin,6.0,3.0,0.33333,0.42857,0.25,1.16667,0.0,0.0,0.0,0.0,-0.66667,79.3,0.25,206.0,0.00887,0.26908,1.37975,0.28696,0.10043,0.20192,C12H14O3,PUCs,Lignin-like,POCs
10,8,5,0,0,0,0,CHO,Lignin,7.0,2.0,0.4,0.6,0.5,0.8,0.0,0.0,0.0,0.0,0.2,54.6,0.5,208.0,0.07903,0.20152,1.46275,0.21957,0.0313,0.13373,C10H8O5,PPAs,Polyphenol-like,POCs
11,12,4,0,0,0,0,CHO,Lignin,6.0,2.0,0.28571,0.44444,0.36364,1.09091,0.0,0.0,0.0,0.0,-0.36364,70.66364,0.36364,208.0,0.03727,0.24333,1.42128,0.26139,0.07307,0.17553,C11H12O4,PUCs,Lignin-like,POCs
12,16,3,0,0,0,0,CHO,Lignin,5.0,2.0,0.22222,0.33333,0.25,1.33333,0.0,0.0,0.0,0.0,-0.83333,84.05,0.25,208.0,0.00448,0.28514,1.3798,0.3032,0.11485,0.21733,C12H16O3,PUCs,Lignin-like,Lipid
9,6,6,0,0,0,0,CHO,ConHC,7.0,1.0,0.33333,0.66667,0.66667,0.66667,0.0,0.0,0.0,0.0,0.66667,41.3,0.66667,210.0,0.10743,0.17578,1.50428,0.194,0.00394,0.10735,C9H6O6,PPAs,Polyphenol-like,POCs
10,10,5,0,0,0,0,CHO,Lignin,6.0,1.0,0.2,0.46667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,60.3,0.5,210.0,0.06568,0.21759,1.4628,0.23582,0.04571,0.14914,C10H10O5,PUCs,Lignin-like,POCs
11,14,4,0,0,0,0,CHO,Lignin,5.0,1.0,0.14286,0.33333,0.36364,1.27273,0.0,0.0,0.0,0.0,-0.54545,75.84545,0.36364,210.0,0.02392,0.2594,1.42133,0.27763,0.08749,0.19094,C11H14O4,PUCs,Lignin-like,POCs
10,13,4,1,0,0,0,CHON,Lignin,5.0,1.0,0.0,0.28571,0.4,1.3,0.1,0.0,inf,0.0,-0.2,66.0,0.5,211.0,0.03603,0.24863,1.44001,0.26694,0.07591,0.17985,C10H13O4N,PUCs,Lignin-like,Not Matched
9,8,6,0,0,0,0,CHO,Tannin,6.0,0.0,0.0,0.5,0.66667,0.88889,0.0,0.0,0.0,0.0,0.44444,47.63333,0.66667,212.0,0.09408,0.19185,1.50433,0.21024,0.01836,0.12276,C9H8O6,PPAs,Polyphenol-like,POCs
10,12,5,0,0,0,0,CHO,Lignin,5.0,0.0,0.0,0.33333,0.5,1.2,0.0,0.0,0.0,0.0,-0.2,66.0,0.5,212.0,0.05233,0.23365,1.46285,0.25206,0.06013,0.16455,C10H12O5,PUCs,Lignin-like,POCs
11,16,4,0,0,0,0,CHO,Lignin,4.0,0.0,0.0,0.22222,0.36364,1.45455,0.0,0.0,0.0,0.0,-0.72727,81.02727,0.36364,212.0,0.01057,0.27546,1.42138,0.29387,0.10191,0.20635,C11H16O4,PUCs,Lignin-like,Lipid
9,11,5,1,0,0,0,CHON,Lignin,5.0,0.0,0.0,0.27273,0.55556,1.22222,0.11111,0.0,inf,0.0,0.22222,53.96667,0.66667,213.0,0.06443,0.22288,1.48153,0.24137,0.04855,0.15346,C9H11O5N,PUCs,Lignin-like,Not Matched
9,10,6,0,0,0,0,CHO,Tannin,5.0,-1.0,0.0,0.33333,0.66667,1.11111,0.0,0.0,0.0,0.0,0.22222,53.96667,0.66667,214.0,0.08073,0.20791,1.50438,0.22648,0.03277,0.13817,C9H10O6,PUCs,Lignin-like,POCs
10,14,5,0,0,0,0,CHO,Lignin,4.0,-1.0,0.0,0.2,0.5,1.4,0.0,0.0,0.0,0.0,-0.4,71.7,0.5,214.0,0.03898,0.24972,1.4629,0.2683,0.07455,0.17996,C10H14O5,PUCs,Lignin-like,Lipid
11,18,4,0,0,0,0,CHO,Protein,3.0,-1.0,0.0,0.11111,0.36364,1.63636,0.0,0.0,0.0,0.0,-0.90909,86.20909,0.36364,214.0,0.00278,0.29153,1.42143,0.31011,0.11633,0.22176,C11H18O4,UAAs,Aliphatic-like,Lipid
9,14,5,0,1,0,0,CHO,Lignin,3.0,-2.0,0.0,0.07692,0.55556,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.55556,203.0,0.03628,0.23758,1.38702,0.2552,0.07141,0.1714,C(13)9H14O5,UAAs,Aliphatic-like,Lipid
8,8,5,0,0,1,0,CHOS,Lignin,5.0,0.0,0.0,0.33333,0.625,1.0,0.0,0.0,0.0,0.0,0.5,46.05,0.625,216.0,0.0482,0.24318,1.48538,0.26193,0.06638,0.17278,C8H8O5S,PUCs,Lignin-like,POCs
8,8,7,0,0,0,0,CHO,Tannin,5.0,-2.0,0.0,0.33333,0.875,1.0,0.0,0.0,0.0,0.0,0.75,38.925,0.875,216.0,0.10914,0.18217,1.5459,0.20091,0.00542,0.11178,C8H8O7,PUCs,Tannin-like,POCs
9,12,6,0,0,0,0,CHO,Tannin,4.0,-2.0,0.0,0.16667,0.66667,1.33333,0.0,0.0,0.0,0.0,0.0,60.3,0.66667,216.0,0.06738,0.22398,1.50443,0.24272,0.04719,0.15358,C9H12O6,PUCs,Lignin-like,Not Matched
10,16,5,0,0,0,0,CHO,Protein,3.0,-2.0,0.0,0.06667,0.5,1.6,0.0,0.0,0.0,0.0,-0.6,77.4,0.5,216.0,0.02563,0.26579,1.46295,0.28454,0.08897,0.19537,C10H16O5,UAAs,Aliphatic-like,Lipid
11,20,4,0,0,0,0,CHO,Protein,2.0,-2.0,0.0,0.0,0.36364,1.81818,0.0,0.0,0.0,0.0,-1.09091,91.39091,0.36364,216.0,0.01612,0.3076,1.42148,0.32635,0.13074,0.23717,C11H20O4,UAAs,Aliphatic-like,Lipid
8,10,7,0,0,0,0,CHO,Tannin,4.0,-3.0,0.0,0.11111,0.875,1.25,0.0,0.0,0.0,0.0,0.5,46.05,0.875,218.0,0.09579,0.19823,1.54595,0.21715,0.01983,0.12719,C8H10O7,PUCs,Tannin-like,POCs
12,10,4,0,0,0,0,CHO,Lignin,8.0,4.0,0.5,0.6,0.33333,0.83333,0.0,0.0,0.0,0.0,-0.16667,65.05,0.33333,218.0,0.05443,0.23964,1.50487,0.25857,0.06121,0.16859,C12H10O4,PPAs,Polyphenol-like,POCs
9,14,4,0,0,1,0,CHOS,Protein,3.0,-1.0,0.0,0.0,0.44444,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.44444,218.0,0.0069,0.30106,1.44395,0.31998,0.12257,0.22998,C9H14O4S,UAAs,Aliphatic-like,Lipid
9,14,6,0,0,0,0,CHO,AminoSugar,3.0,-3.0,0.0,0.0,0.66667,1.55556,0.0,0.0,0.0,0.0,-0.22222,66.63333,0.66667,218.0,0.05403,0.24004,1.50448,0.25897,0.06161,0.16899,C9H14O6,UAAs,Aliphatic-like,Not Matched
13,14,3,0,0,0,0,CHO,Lignin,7.0,4.0,0.4,0.47826,0.23077,1.07692,0.0,0.0,0.0,0.0,-0.61538,77.83846,0.23077,218.0,0.01268,0.28145,1.4634,0.30038,0.10299,0.21038,C13H14O3,PUCs,Lignin-like,POCs
10,18,5,0,0,0,0,CHO,Protein,2.0,-3.0,0.0,0.0,0.5,1.8,0.0,0.0,0.0,0.0,-0.8,83.1,0.5,218.0,0.01228,0.28185,1.463,0.30078,0.10339,0.21078,C10H18O5,UAAs,Aliphatic-like,Lipid
11,8,5,0,0,0,0,CHO,ConHC,8.0,3.0,0.5,0.64706,0.45455,0.72727,0.0,0.0,0.0,0.0,0.18182,55.11818,0.45455,220.0,0.08284,0.2139,1.5464,0.23299,0.03385,0.1422,C11H8O5,PPAs,Polyphenol-like,POCs
12,12,4,0,0,0,0,CHO,Lignin,7.0,3.0,0.375,0.5,0.33333,1.0,0.0,0.0,0.0,0.0,-0.33333,69.8,0.33333,220.0,0.04108,0.25571,1.50492,0.27481,0.07563,0.184,C12H12O4,PPAs,Polyphenol-like,POCs
13,16,3,0,0,0,0,CHO,Lignin,6.0,3.0,0.3,0.3913,0.23077,1.23077,0.0,0.0,0.0,0.0,-0.76923,82.22308,0.23077,220.0,0.00067,0.29752,1.46345,0.31662,0.1174,0.22579,C13H16O3,PUCs,Lignin-like,POCs
11,11,4,1,0,0,0,CHON,Lignin,7.0,3.0,0.33333,0.5,0.36364,1.0,0.09091,0.0,inf,0.0,0.0,60.3,0.45455,221.0,0.05319,0.24494,1.5236,0.26412,0.06405,0.1729,C11H11O4N,PPAs,Polyphenol-like,Not Matched
10,6,6,0,0,0,0,CHO,ConHC,8.0,2.0,0.5,0.71429,0.6,0.6,0.0,0.0,0.0,0.0,0.6,43.2,0.6,222.0,0.11124,0.18816,1.58792,0.20742,0.00649,0.11581,C10H6O6,PAs,Cond. aromatic-like,POCs
11,10,5,0,0,0,0,CHO,Lignin,7.0,2.0,0.33333,0.52941,0.45455,0.90909,0.0,0.0,0.0,0.0,0.0,60.3,0.45455,222.0,0.06949,0.22997,1.54645,0.24923,0.04827,0.15761,C11H10O5,PPAs,Polyphenol-like,POCs
12,14,4,0,0,0,0,CHO,Lignin,6.0,2.0,0.25,0.4,0.33333,1.16667,0.0,0.0,0.0,0.0,-0.5,74.55,0.33333,222.0,0.02773,0.27178,1.50497,0.29105,0.09005,0.19941,C12H14O4,PUCs,Lignin-like,POCs
14,22,2,0,0,0,0,CHO,Lipid,4.0,2.0,0.16667,0.23077,0.14286,1.57143,0.0,0.0,0.0,0.0,-1.28571,96.94286,0.14286,222.0,0.05577,0.35539,1.42202,0.37467,0.1736,0.283,C14H22O2,UAAs,Lipid-like,Lipid
10,9,5,1,0,0,0,CHON,Lignin,7.0,2.0,0.25,0.53846,0.5,0.9,0.1,0.0,inf,0.0,0.4,48.9,0.6,223.0,0.08159,0.21919,1.56513,0.23855,0.03669,0.14652,C10H9O5N,PPAs,Polyphenol-like,Not Matched
11,13,4,1,0,0,0,CHON,Lignin,6.0,2.0,0.16667,0.375,0.36364,1.18182,0.09091,0.0,inf,0.0,-0.18182,65.48182,0.45455,223.0,0.03984,0.261,1.52365,0.28036,0.07847,0.18831,C11H13O4N,PUCs,Lignin-like,Not Matched
11,14,4,0,1,0,0,CHO,Lignin,5.0,1.0,0.14286,0.33333,0.36364,1.27273,0.0,0.0,0.0,0.0,-0.54545,75.84545,0.36364,211.0,0.02504,0.25963,1.42909,0.27795,0.0869,0.19085,C(13)11H14O4,PUCs,Lignin-like,POCs
10,8,6,0,0,0,0,CHO,Lignin,7.0,1.0,0.25,0.57143,0.6,0.8,0.0,0.0,0.0,0.0,0.4,48.9,0.6,224.0,0.09789,0.20422,1.58797,0.22366,0.02091,0.13122,C10H8O6,PPAs,Polyphenol-like,POCs
11,12,5,0,0,0,0,CHO,Lignin,6.0,1.0,0.16667,0.41176,0.45455,1.09091,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.45455,224.0,0.05614,0.24603,1.5465,0.26547,0.06269,0.17302,C11H12O5,PUCs,Lignin-like,POCs
12,16,4,0,0,0,0,CHO,Lignin,5.0,1.0,0.125,0.3,0.33333,1.33333,0.0,0.0,0.0,0.0,-0.66667,79.3,0.33333,224.0,0.01438,0.28784,1.50502,0.30729,0.10446,0.21482,C12H16O4,PUCs,Lignin-like,Lipid
10,11,5,1,0,0,0,CHON,Lignin,6.0,1.0,0.0,0.38462,0.5,1.1,0.1,0.0,inf,0.0,0.2,54.6,0.6,225.0,0.06824,0.23526,1.56518,0.25479,0.05111,0.16193,C10H11O5N,PUCs,Lignin-like,Not Matched
9,6,7,0,0,0,0,CHO,ConHC,7.0,0.0,0.0,0.63636,0.77778,0.66667,0.0,0.0,0.0,0.0,0.88889,34.96667,0.77778,226.0,0.12629,0.17848,1.6295,0.19809,0.00645,0.10484,C9H6O7,PPAs,Polyphenol-like,POCs
10,10,6,0,0,0,0,CHO,Lignin,6.0,0.0,0.0,0.42857,0.6,1.0,0.0,0.0,0.0,0.0,0.2,54.6,0.6,226.0,0.08454,0.22029,1.58802,0.2399,0.03533,0.14663,C10H10O6,PUCs,Lignin-like,POCs
11,14,5,0,0,0,0,CHO,Lignin,5.0,0.0,0.0,0.29412,0.45455,1.27273,0.0,0.0,0.0,0.0,-0.36364,70.66364,0.45455,226.0,0.04279,0.2621,1.54655,0.28172,0.07711,0.18843,C11H14O5,PUCs,Lignin-like,POCs
12,18,4,0,0,0,0,CHO,Protein,4.0,0.0,0.0,0.2,0.33333,1.5,0.0,0.0,0.0,0.0,-0.83333,84.05,0.33333,226.0,0.00103,0.30391,1.50507,0.32353,0.11888,0.23023,C12H18O4,UAAs,Aliphatic-like,Lipid
10,13,5,1,0,0,0,CHON,Lignin,5.0,0.0,0.0,0.23077,0.5,1.3,0.1,0.0,inf,0.0,0.0,60.3,0.6,227.0,0.05489,0.25133,1.56523,0.27103,0.06553,0.17734,C10H13O5N,PUCs,Lignin-like,Not Matched
10,14,5,0,1,0,0,CHO,Lignin,4.0,-1.0,0.0,0.2,0.5,1.4,0.0,0.0,0.0,0.0,-0.4,71.7,0.5,215.0,0.04009,0.24995,1.47067,0.26862,0.07396,0.17987,C(13)10H14O5,PUCs,Lignin-like,Lipid
9,8,7,0,0,0,0,CHO,Tannin,6.0,-1.0,0.0,0.45455,0.77778,0.88889,0.0,0.0,0.0,0.0,0.66667,41.3,0.77778,228.0,0.11295,0.19454,1.62955,0.21433,0.00797,0.12025,C9H8O7,PUCs,Tannin-like,POCs
10,12,6,0,0,0,0,CHO,Lignin,5.0,-1.0,0.0,0.28571,0.6,1.2,0.0,0.0,0.0,0.0,0.0,60.3,0.6,228.0,0.07119,0.23635,1.58807,0.25614,0.04975,0.16204,C10H12O6,PUCs,Lignin-like,POCs
11,16,5,0,0,0,0,CHO,Lignin,4.0,-1.0,0.0,0.17647,0.45455,1.45455,0.0,0.0,0.0,0.0,-0.54545,75.84545,0.45455,228.0,0.02944,0.27816,1.5466,0.29796,0.09152,0.20384,C11H16O5,PUCs,Lignin-like,Lipid
12,20,4,0,0,0,0,CHO,Protein,3.0,-1.0,0.0,0.1,0.33333,1.66667,0.0,0.0,0.0,0.0,-1.0,88.8,0.33333,228.0,0.01231,0.31997,1.50512,0.33977,0.1333,0.24563,C12H20O4,UAAs,Aliphatic-like,Lipid
9,12,6,0,1,0,0,CHO,Lignin,4.0,-2.0,0.0,0.16667,0.66667,1.33333,0.0,0.0,0.0,0.0,0.0,60.3,0.66667,217.0,0.0685,0.22421,1.51219,0.24304,0.04661,0.15348,C(13)9H12O6,PUCs,Lignin-like,Not Matched
9,10,5,0,0,1,0,CHOS,Lignin,5.0,0.0,0.0,0.27273,0.55556,1.11111,0.0,0.0,0.0,0.0,0.22222,53.96667,0.55556,230.0,0.03866,0.27162,1.56907,0.29159,0.08335,0.19665,C9H10O5S,PUCs,Lignin-like,POCs
9,10,7,0,0,0,0,CHO,Tannin,5.0,-2.0,0.0,0.27273,0.77778,1.11111,0.0,0.0,0.0,0.0,0.44444,47.63333,0.77778,230.0,0.0996,0.21061,1.6296,0.23057,0.02239,0.13566,C9H10O7,PUCs,Tannin-like,POCs
13,10,4,0,0,0,0,CHO,ConHC,9.0,5.0,0.55556,0.63636,0.30769,0.76923,0.0,0.0,0.0,0.0,-0.15385,64.68462,0.30769,230.0,0.05824,0.25202,1.58852,0.27198,0.06377,0.17705,C13H10O4,PPAs,Polyphenol-like,POCs
10,14,6,0,0,0,0,CHO,Lignin,4.0,-2.0,0.0,0.14286,0.6,1.4,0.0,0.0,0.0,0.0,-0.2,66.0,0.6,230.0,0.05784,0.25242,1.58812,0.27238,0.06417,0.17745,C10H14O6,PUCs,Lignin-like,Lipid
11,18,5,0,0,0,0,CHO,Protein,3.0,-2.0,0.0,0.05882,0.45455,1.63636,0.0,0.0,0.0,0.0,-0.72727,81.02727,0.45455,230.0,0.01609,0.29423,1.54665,0.3142,0.10594,0.21925,C11H18O5,UAAs,Aliphatic-like,Lipid
12,22,4,0,0,0,0,CHO,Protein,2.0,-2.0,0.0,0.0,0.33333,1.83333,0.0,0.0,0.0,0.0,-1.16667,93.55,0.33333,230.0,0.02566,0.33604,1.50517,0.35601,0.14772,0.26104,C12H22O4,UAAs,Aliphatic-like,Lipid
9,14,6,0,1,0,0,CHO,Lignin,3.0,-3.0,0.0,0.0,0.66667,1.55556,0.0,0.0,0.0,0.0,-0.22222,66.63333,0.66667,219.0,0.05515,0.24027,1.51224,0.25928,0.06102,0.16889,C(13)9H14O6,UAAs,Aliphatic-like,Not Matched
12,8,5,0,0,0,0,CHO,ConHC,9.0,4.0,0.57143,0.68421,0.41667,0.66667,0.0,0.0,0.0,0.0,0.16667,55.55,0.41667,232.0,0.08665,0.22628,1.63004,0.24641,0.03641,0.15067,C12H8O5,PAs,Cond. aromatic-like,POCs
9,12,5,0,0,1,0,CHOS,Lignin,4.0,-1.0,0.0,0.09091,0.55556,1.33333,0.0,0.0,0.0,0.0,0.0,60.3,0.55556,232.0,0.02531,0.28769,1.56912,0.30783,0.09777,0.21206,C9H12O5S,PUCs,Lignin-like,Lipid
9,12,7,0,0,0,0,CHO,Tannin,4.0,-3.0,0.0,0.09091,0.77778,1.33333,0.0,0.0,0.0,0.0,0.22222,53.96667,0.77778,232.0,0.08625,0.22668,1.62965,0.24681,0.03681,0.15107,C9H12O7,PUCs,Tannin-like,Not Matched
13,12,4,0,0,0,0,CHO,Lignin,8.0,4.0,0.44444,0.54545,0.30769,0.92308,0.0,0.0,0.0,0.0,-0.30769,69.06923,0.30769,232.0,0.04489,0.26809,1.58857,0.28822,0.07818,0.19246,C13H12O4,PPAs,Polyphenol-like,POCs
10,16,6,0,0,0,0,CHO,AminoSugar,3.0,-3.0,0.0,0.0,0.6,1.6,0.0,0.0,0.0,0.0,-0.4,71.7,0.6,232.0,0.04449,0.26849,1.58817,0.28862,0.07858,0.19286,C10H16O6,UAAs,Aliphatic-like,Lipid
11,20,5,0,0,0,0,CHO,Protein,2.0,-3.0,0.0,0.0,0.45455,1.81818,0.0,0.0,0.0,0.0,-0.90909,86.20909,0.45455,232.0,0.00274,0.3103,1.5467,0.33044,0.12036,0.23466,C11H20O5,UAAs,Aliphatic-like,Lipid
11,6,6,0,0,0,0,CHO,ConHC,9.0,3.0,0.6,0.75,0.54545,0.54545,0.0,0.0,0.0,0.0,0.54545,44.75455,0.54545,234.0,0.11505,0.20053,1.67157,0.22084,0.00905,0.12428,C11H6O6,PAs,Cond. aromatic-like,POCs
12,10,5,0,0,0,0,CHO,Lignin,8.0,3.0,0.42857,0.57895,0.41667,0.83333,0.0,0.0,0.0,0.0,0.0,60.3,0.41667,234.0,0.0733,0.24234,1.63009,0.26265,0.05083,0.16608,C12H10O5,PPAs,Polyphenol-like,POCs
9,14,5,0,0,1,0,CHOS,AminoSugar,3.0,-2.0,0.0,0.0,0.55556,1.55556,0.0,0.0,0.0,0.0,-0.22222,66.63333,0.55556,234.0,0.01197,0.30376,1.56917,0.32407,0.11219,0.22747,C9H14O5S,UAAs,Aliphatic-like,Lipid
9,14,7,0,0,0,0,CHO,Carb,3.0,-4.0,0.0,0.0,0.77778,1.55556,0.0,0.0,0.0,0.0,0.0,60.3,0.77778,234.0,0.0729,0.24274,1.6297,0.26305,0.05122,0.16648,C9H14O7,UAAs,Carbohydrate-like,Not Matched
13,14,4,0,0,0,0,CHO,Lignin,7.0,3.0,0.33333,0.45455,0.30769,1.07692,0.0,0.0,0.0,0.0,-0.46154,73.45385,0.30769,234.0,0.03154,0.28415,1.58862,0.30446,0.0926,0.20787,C13H14O4,PUCs,Lignin-like,POCs
10,18,6,0,0,0,0,CHO,AminoSugar,2.0,-4.0,0.0,0.0,0.6,1.8,0.0,0.0,0.0,0.0,-0.6,77.4,0.6,234.0,0.03114,0.28455,1.58822,0.30487,0.093,0.20827,C10H18O6,UAAs,Aliphatic-like,Lipid
14,18,3,0,0,0,0,CHO,Lignin,6.0,3.0,0.27273,0.36,0.21429,1.28571,0.0,0.0,0.0,0.0,-0.85714,84.72857,0.21429,234.0,0.01021,0.32596,1.54714,0.34628,0.13438,0.24967,C14H18O3,PUCs,Lignin-like,POCs
15,22,2,0,0,0,0,CHO,Lignin,5.0,3.0,0.23077,0.28571,0.13333,1.46667,0.0,0.0,0.0,0.0,-1.2,94.5,0.13333,234.0,0.05196,0.36777,1.50567,0.38809,0.17615,0.29146,C15H22O2,PUCs,Lignin-like,Lipid
14,22,2,0,1,0,0,CHO,Lignin,4.0,2.0,0.16667,0.23077,0.14286,1.57143,0.0,0.0,0.0,0.0,-1.28571,96.94286,0.14286,223.0,0.05466,0.35563,1.42979,0.37499,0.17301,0.2829,C(13)14H22O2,UAAs,Lipid-like,Lipid
11,8,6,0,0,0,0,CHO,ConHC,8.0,2.0,0.4,0.625,0.54545,0.72727,0.0,0.0,0.0,0.0,0.36364,49.93636,0.54545,236.0,0.1017,0.2166,1.67162,0.23708,0.02347,0.13969,C11H8O6,PPAs,Polyphenol-like,POCs
8,13,6,0,0,0,1,CHOP,Carb,3.0,-3.0,0.0,0.0,0.75,1.625,0.0,0.125,0.0,inf,-0.75,81.675,0.75,236.0,0.11768,0.20059,1.6875,0.22107,0.00748,0.12369,C8H13O6P,UAAs,Aliphatic-like,Not Matched
12,12,5,0,0,0,0,CHO,Lignin,7.0,2.0,0.28571,0.47368,0.41667,1.0,0.0,0.0,0.0,0.0,-0.16667,65.05,0.41667,236.0,0.05995,0.25841,1.63014,0.27889,0.06524,0.18148,C12H12O5,PUCs,Lignin-like,POCs
11,12,4,2,0,0,0,CHON,Lignin,7.0,3.0,0.2,0.42857,0.36364,1.09091,0.18182,0.0,inf,0.0,0.18182,55.11818,0.54545,236.0,0.05575,0.26261,1.62598,0.28309,0.06944,0.18568,C11H12O4N2,PUCs,Lignin-like,Proteins
9,17,5,0,0,0,1,CHOP,AminoSugar,2.0,-3.0,0.0,0.0,0.55556,1.88889,0.0,0.11111,0.0,inf,-1.33333,98.3,0.55556,236.0,0.07593,0.2424,1.64602,0.26289,0.04925,0.16549,C9H17O5P,UAAs,Aliphatic-like,Lipid
13,16,4,0,0,0,0,CHO,Lignin,6.0,2.0,0.22222,0.36364,0.30769,1.23077,0.0,0.0,0.0,0.0,-0.61538,77.83846,0.30769,236.0,0.01819,0.30022,1.58867,0.32071,0.10702,0.22328,C13H16O4,PUCs,Lignin-like,POCs
14,20,3,0,0,0,0,CHO,Lignin,5.0,2.0,0.18182,0.28,0.21429,1.42857,0.0,0.0,0.0,0.0,-1.0,88.8,0.21429,236.0,0.02356,0.34203,1.54719,0.36252,0.14879,0.26508,C14H20O3,PUCs,Lignin-like,Lipid
11,11,5,1,0,0,0,CHON,Lignin,7.0,2.0,0.2,0.46667,0.45455,1.0,0.09091,0.0,inf,0.0,0.18182,55.11818,0.54545,237.0,0.07205,0.24764,1.64882,0.26821,0.05366,0.17039,C11H11O5N,PUCs,Lignin-like,Not Matched
11,12,5,0,1,0,0,CHO,Lignin,6.0,1.0,0.16667,0.41176,0.45455,1.09091,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.45455,225.0,0.05725,0.24626,1.55426,0.26579,0.0621,0.17293,C(13)11H12O5,PUCs,Lignin-like,POCs
10,6,7,0,0,0,0,CHO,ConHC,8.0,1.0,0.33333,0.69231,0.7,0.6,0.0,0.0,0.0,0.0,0.8,37.5,0.7,238.0,0.1301,0.19085,1.71314,0.21151,0.00389,0.1133,C10H6O7,PAs,Cond. aromatic-like,POCs
11,10,6,0,0,0,0,CHO,Lignin,7.0,1.0,0.2,0.5,0.54545,0.90909,0.0,0.0,0.0,0.0,0.18182,55.11818,0.54545,238.0,0.08835,0.23266,1.67167,0.25332,0.03788,0.1551,C11H10O6,PPAs,Polyphenol-like,POCs
8,15,6,0,0,0,1,CHOP,Carb,2.0,-4.0,0.0,0.0,0.75,1.875,0.0,0.125,0.0,inf,-1.0,88.8,0.75,238.0,0.10433,0.21666,1.68754,0.23731,0.02189,0.1391,C8H15O6P,UAAs,Aliphatic-like,Not Matched
12,14,5,0,0,0,0,CHO,Lignin,6.0,1.0,0.14286,0.36842,0.41667,1.16667,0.0,0.0,0.0,0.0,-0.33333,69.8,0.41667,238.0,0.0466,0.27447,1.63019,0.29513,0.07966,0.19689,C12H14O5,PUCs,Lignin-like,POCs
