Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index,El_comp,Sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,NKM,KMD-CH2,KMD-CO2,KMD-H2,KMD-O2,KMD-H2O,KMD-CHO,KMD-OCH2,KMD-C6H4O,Ymet,Molecular formula,Outline,Specifics,MSCC,CRAM,IOS
209.045981,3947298.5,10,10,5,0,0,0,0,0,0.485174975182574,1,209.045441992952,209.045445052247,210.052721519127,30.98,480972.5,0.0205420754613921,251,CHO,Altamaha_PP48_000107-4_p08,6.0,1.0,0.2,0.46667,0.5,1.0,0.0,0.0,,,0.0,60.3,0.5,209.0,0.1884215145,0.0933290717,1.578076551,0.1114582353,0.0775678269,0.0252507177,0.0285579476,0.0145608502,0.20301759563870225,C10H10O5,PUCs,Lignin-like,Not Matched,CRAM,
209.082359,3219748.0,11,14,4,0,0,0,0,0,0.491926522202412,1,209.081819888866,209.081829122466,210.089105589346,24.8,460636.6,0.0167558410854072,252,CHO,Altamaha_PP48_000107-4_p08,5.0,1.0,0.14286,0.33333,0.36364,1.27273,0.0,0.0,,,-0.54545,75.84545,0.36364,209.0,0.1520771423,0.1297224836,1.541974053,0.1478548026,0.0412041602,0.0616322803,0.0078142494,0.0218137831,0.16638816558868946,C11H14O4,PUCs,Lignin-like,Not Matched,CRAM,
211.025241,2783600.8,9,8,6,0,0,0,0,0,0.479771507319436,1,211.02469631898,211.024709795566,212.031986262446,21.09,484995.3,0.0144860941446387,255,CHO,Altamaha_PP48_000107-4_p08,6.0,0.0,0.0,0.5,0.66667,0.88889,0.0,0.0,,,0.44444,47.63333,0.66667,211.0,0.2113665795,0.0730516576,1.6141790489,0.0913524705,0.0994633149,0.0043287289,0.0499894037,0.03585978,0.24761151156869377,C9H8O6,PPAs,Polyphenol-like,Not Matched,CRAM,
211.061636,6305138.0,10,12,5,0,0,0,0,0,0.426733766117916,1,211.061091214438,211.061106532042,212.068382998922,51.01,510189.1,0.0328124717678409,256,CHO,Altamaha_PP48_000107-4_p08,5.0,0.0,0.0,0.33333,0.5,1.2,0.0,0.0,,,-0.2,66.0,0.5,211.0,0.1750222073,0.1094450695,1.578076551,0.1277490377,0.0630996482,0.0407102915,0.0136172067,0.0005148533,0.19580678542323898,C10H12O5,PUCs,Lignin-like,Not Matched,CRAM,
211.098001,2890099.5,11,16,4,0,0,0,0,0,0.473507398447437,1,211.097456109974,211.0974821019,212.10475856878,21.94,496860.3,0.0150403223926266,257,CHO,Altamaha_PP48_000107-4_p08,4.0,0.0,0.0,0.22222,0.36364,1.45455,0.0,0.0,,,-0.72727,81.02727,0.36364,211.0,0.1386778351,0.1458384813,1.541974053,0.164145605,0.0267359816,0.0770918541,0.0227549902,0.0368894865,0.1611004517272444,C11H16O4,PUCs,Lignin-like,Not Matched,CRAM,
212.056893,1418518.6,9,11,5,1,0,0,0,0,0.484718628173426,1,212.056345352695,212.056342725965,213.063619192845,9.47,579910.5,0.0073820908463315,258,CHON,Altamaha_PP48_000107-4_p08,5.0,0.0,0.0,0.27273,0.55556,1.22222,0.11111,0.0,inf,0.0,0.22222,53.96667,0.66667,212.0,0.1803377426,0.1054716673,1.5900117779,0.1238619948,0.0678871263,0.0364125947,0.0181712238,0.0039724879,0.23843380277963167,C9H11O5N,PUCs,Lignin-like,Not Matched,CRAM,
213.040937,4676025.5,9,10,6,0,0,0,0,0,0.446156355024609,1,213.040386517598,213.040366087961,214.047642554841,37.07,451064.2,0.0243344324429464,260,CHO,Altamaha_PP48_000107-4_p08,5.0,-1.0,0.0,0.33333,0.66667,1.11111,0.0,0.0,,,0.22222,53.96667,0.66667,213.0,0.1979672723,0.0891676553,1.6141790489,0.1076432729,0.0849951362,0.0197883028,0.0350486629,0.0207840765,0.2360801887859191,C9H10O6,PUCs,Lignin-like,Not Matched,CRAM,
213.077312,7537082.5,10,14,5,0,0,0,0,0,0.397518023567287,1,213.076761412692,213.076761990722,214.084038457602,61.32,474021.8,0.0392236152076509,261,CHO,Altamaha_PP48_000107-4_p08,4.0,-1.0,0.0,0.2,0.5,1.4,0.0,0.0,,,-0.4,71.7,0.5,213.0,0.1616229001,0.1255610672,1.578076551,0.1440398402,0.0486314695,0.0561698653,0.0013235341,0.0155905567,0.1879624960337246,C10H14O5,PUCs,Lignin-like,Not Matched,CRAM,
213.113701,2206907.8,11,18,4,0,0,0,0,0,0.316204476343748,1,213.113150307738,213.113164893457,214.120441360337,16.15,522654.4,0.0114849349660115,262,CHO,Altamaha_PP48_000107-4_p08,3.0,-1.0,0.0,0.11111,0.36364,1.63636,0.0,0.0,,,-0.90909,86.20909,0.36364,213.0,0.1252785279,0.161954479,1.541974053,0.1804364074,0.0122678029,0.0925514279,0.0376957311,0.0519651899,0.15613846700107537,C11H18O4,UAAs,Aliphatic-like,Not Matched,,
215.00242,3906044.5,8,8,5,0,0,1,0,0,0.452540569867562,1,215.001863849682,215.001869837474,216.009146304354,30.55,459251.3,0.0203273861539874,264,CHOS,Altamaha_PP48_000107-4_p08,5.0,0.0,0.0,0.33333,0.625,1.0,0.0,0.0,,,0.5,46.05,0.625,215.0,0.2381059374,0.0516734417,1.6673607224,0.0703192157,0.124093352,0.0183448799,0.0736868823,0.0592909222,0.2787200860095735,C8H8O5S,PUCs,Lignin-like,Not Matched,CRAM,
215.056561,7458302.5,9,12,6,0,0,0,0,0,0.446436942995789,1,215.056004692917,215.056015192242,216.063291659122,60.65,476500.4,0.0388136374203494,265,CHO,Altamaha_PP48_000107-4_p08,4.0,-2.0,0.0,0.16667,0.66667,1.33333,0.0,0.0,,,0.0,60.3,0.66667,215.0,0.1845679651,0.1052836531,1.6141790489,0.1239340753,0.0705269575,0.0352478766,0.020107922,0.0057083731,0.2255751062652247,C9H12O6,PUCs,Lignin-like,Not Matched,,
215.092974,5092863.5,10,16,5,0,0,0,0,0,0.381286600507583,1,215.092417587473,215.092414761272,216.099691228152,40.6,492693.9,0.0265036926727404,267,CHO,Altamaha_PP48_000107-4_p08,3.0,-2.0,0.0,0.06667,0.5,1.6,0.0,0.0,,,-0.6,77.4,0.5,215.0,0.1482235929,0.1416770649,1.578076551,0.1603306426,0.0341632909,0.0716294391,0.016264275,0.0306662601,0.18124233610351537,C10H16O5,UAAs,Aliphatic-like,Not Matched,,
215.129336,2303488.8,11,20,4,0,0,0,0,0,0.377194964260685,1,215.12877948217,215.128801138049,216.136077604929,16.97,537689.8,0.0119875506638455,268,CHO,Altamaha_PP48_000107-4_p08,2.0,-2.0,0.0,0.0,0.36364,1.81818,0.0,0.0,,,-1.09091,91.39091,0.36364,215.0,0.1118792207,0.1780704767,1.541974053,0.1967272099,0.0022003758,0.1080110017,0.052636472,0.0670408933,0.1514730128202671,C11H20O4,UAAs,Aliphatic-like,Not Matched,,
217.014788,1141569.9,11,6,5,0,0,0,0,0,0.0955178997207056,1,217.014226011262,217.014226011262,218.021502478142,7.1,530600.1,0.0059408263728354,271,CHO,Altamaha_PP48_000107-4_p08,9.0,4.0,0.66667,0.76471,0.45455,0.54545,0.0,0.0,,,0.36364,49.93636,0.45455,217.0,0.2286194361,0.0638713539,1.6712474884,0.0826915929,0.1135400565,0.0068021159,0.062661943,0.0481312826,0.19905565076536064,C11H6O5,PAs,Cond. aromatic-like,Not Matched,,
217.051113,2270531.3,12,10,4,0,0,0,0,0,0.496859852044878,1,217.050550905653,217.0505239983,218.05780046518,16.64,499954.2,0.0118160370445895,272,CHO,Altamaha_PP48_000107-4_p08,8.0,4.0,0.5,0.6,0.33333,0.83333,0.0,0.0,,,-0.16667,65.05,0.33333,217.0,0.1922750639,0.1002647657,1.6351449904,0.1190881602,0.0771763899,0.0295794466,0.026289746,0.0117566494,0.16371751049819216,C12H10O4,PPAs,Polyphenol-like,Not Matched,,
217.072229,3345988.0,9,14,6,0,0,0,0,0,0.378030188928436,1,217.071666844258,217.07167927466,218.07895574154,25.73,487398.5,0.0174128047293389,273,CHO,Altamaha_PP48_000107-4_p08,3.0,-3.0,0.0,0.0,0.66667,1.55556,0.0,0.0,,,-0.22222,66.63333,0.66667,217.0,0.1711686579,0.1213996508,1.6141790489,0.1402248777,0.0560587788,0.0507074504,0.0051671812,0.0093673303,0.21596510363459703,C9H14O6,UAAs,Aliphatic-like,Not Matched,,
217.087466,1817924.5,13,14,3,0,0,0,0,0,0.351111372960988,1,217.086903799955,217.086941273433,218.094217740313,12.82,482964.8,0.0094606329524137,274,CHO,Altamaha_PP48_000107-4_p08,7.0,4.0,0.4,0.47826,0.23077,1.07692,0.0,0.0,,,-0.61538,77.83846,0.23077,217.0,0.1559306918,0.1366581776,1.5990424925,0.1554847275,0.0408127232,0.0659610092,0.010082451,0.0246179839,0.13903480740827184,C13H14O3,PUCs,Lignin-like,Not Matched,,
217.108607,3102277.3,10,18,5,0,0,0,0,0,0.412830661060149,1,217.108044738482,217.108057176685,218.115333643565,23.67,484102.3,0.0161445136208381,275,CHO,Altamaha_PP48_000107-4_p08,2.0,-3.0,0.0,0.0,0.5,1.8,0.0,0.0,,,-0.8,83.1,0.5,217.0,0.1348242857,0.1577930626,1.578076551,0.176621445,0.0196951122,0.087089013,0.0312050158,0.0457419635,0.17498611631490718,C10H18O5,UAAs,Aliphatic-like,Not Matched,,
219.030404,1695372.3,11,8,5,0,0,0,0,0,0.191982985896086,1,219.029836139257,219.029854657026,220.037131123906,11.78,531239.5,0.0088228609317876,277,CHO,Altamaha_PP48_000107-4_p08,8.0,3.0,0.5,0.64706,0.45455,0.72727,0.0,0.0,,,0.18182,55.11818,0.45455,219.0,0.2152201289,0.0799873516,1.6712474884,0.0989823953,0.0990718778,0.0086574579,0.0477212021,0.0330555792,0.19153473358004708,C11H8O5,PPAs,Polyphenol-like,Not Matched,,
219.066773,3546253.8,12,12,4,0,0,0,0,0,0.385543640613388,1,219.06620503308,219.066197558759,220.073474025639,27.42,475564.5,0.0184550049014151,278,CHO,Altamaha_PP48_000107-4_p08,7.0,3.0,0.375,0.5,0.33333,1.0,0.0,0.0,,,-0.33333,69.8,0.33333,219.0,0.1788757567,0.1163807635,1.6351449904,0.1353789626,0.0627082112,0.0450390205,0.0113490052,0.0033190541,0.1585955653254169,C12H12O4,PPAs,Polyphenol-like,Not Matched,CRAM,
219.103188,1937295.1,13,16,3,0,0,0,0,0,0.280223542542823,1,219.102619926762,219.102606233032,220.109882699912,13.82,427913.3,0.0100818476573751,279,CHO,Altamaha_PP48_000107-4_p08,6.0,3.0,0.3,0.3913,0.23077,1.23077,0.0,0.0,,,-0.76923,82.22308,0.23077,219.0,0.1425313846,0.1527741753,1.5990424925,0.1717755299,0.0263445445,0.081420583,0.0250231918,0.0396936873,0.13532334540142985,C13H16O3,PUCs,Lignin-like,Not Matched,,
221.046035,4907231.5,11,10,5,0,0,0,0,0,0.382502378172006,1,221.045461242684,221.045462028887,222.052738495767,38.82,460931.3,0.0255376480343506,280,CHO,Altamaha_PP48_000107-4_p08,7.0,2.0,0.33333,0.52941,0.45455,0.90909,0.0,0.0,,,0.0,60.3,0.45455,221.0,0.2018208217,0.0961033493,1.6712474884,0.1152731978,0.0846036992,0.0241170317,0.0327804613,0.0179798757,0.18456145058063844,C11H10O5,PPAs,Polyphenol-like,Not Matched,CRAM,
221.082398,14033633.0,12,14,4,0,0,0,0,0,0.452704526685547,1,221.081824136079,221.08183193013,222.08910839701,115.74,461431.0,0.0730322138250963,281,CHO,Altamaha_PP48_000107-4_p08,6.0,2.0,0.25,0.4,0.33333,1.16667,0.0,0.0,,,-0.5,74.55,0.33333,221.0,0.1654764495,0.1324967612,1.6351449904,0.151669765,0.0482400325,0.0604985943,0.0035917357,0.0183947575,0.15378438071803988,C12H14O4,PUCs,Lignin-like,Not Matched,CRAM,
221.118835,1378786.8,13,18,3,0,0,0,0,0,0.211499202840949,1,221.11826102925,221.118270997834,222.125547464714,9.08,594153.3,0.0071753231965536,282,CHO,Altamaha_PP48_000107-4_p08,5.0,2.0,0.2,0.30435,0.23077,1.38462,0.0,0.0,,,-0.92308,86.60769,0.23077,221.0,0.1291320774,0.168890173,1.5990424925,0.1880663323,0.0118763659,0.0968801568,0.0399639327,0.0547693907,0.13180488248709896,C13H18O3,PUCs,Lignin-like,Not Matched,CRAM,
221.155235,2046436.4,14,22,2,0,0,0,0,0,0.328969082813489,1,221.154660922521,221.154630399097,222.161906865977,14.7,434767.7,0.0106498282194112,283,CHO,Altamaha_PP48_000107-4_p08,4.0,2.0,0.16667,0.23077,0.14286,1.57143,0.0,0.0,,,-1.28571,96.94286,0.14286,221.0,0.0927877052,0.2052835849,1.5629399945,0.2244628996,0.0244873008,0.1332617194,0.0763361297,0.091144024,0.11532251307890279,C14H22O2,UAAs,Lipid-like,Not Matched,,
222.041276,1449741.3,10,9,5,1,0,0,0,0,0.453824055875216,1,222.040699322034,222.040694713139,223.047971180019,9.67,438995.2,0.0075445764195681,284,CHON,Altamaha_PP48_000107-4_p08,7.0,2.0,0.25,0.53846,0.5,0.9,0.1,0.0,inf,0.0,0.4,48.9,0.6,222.0,0.207136357,0.0921299472,1.6831827154,0.1113861548,0.0893911773,0.0198193349,0.0373344784,0.0224672169,0.22274989570380094,C10H9O5N,PPAs,Polyphenol-like,Not Matched,,
223.025313,5273406.0,10,8,6,0,0,0,0,0,0.302243596279201,1,223.024733428263,223.024743810256,224.032020277136,41.9,478787.1,0.0274432511223962,286,CHO,Altamaha_PP48_000107-4_p08,7.0,1.0,0.25,0.57143,0.6,0.8,0.0,0.0,,,0.4,48.9,0.6,223.0,0.2247658867,0.0758259352,1.7073499864,0.0951674329,0.1064991871,0.003195043,0.0542119174,0.0392788055,0.2206943994483257,C10H8O6,PPAs,Polyphenol-like,Not Matched,,
223.061683,8095552.0,11,12,5,0,0,0,0,0,0.423907760920896,1,223.061103321194,223.061102044455,224.068378511335,65.69,461823.1,0.0421299377499886,287,CHO,Altamaha_PP48_000107-4_p08,6.0,1.0,0.16667,0.41176,0.45455,1.09091,0.0,0.0,,,-0.18182,65.48182,0.45455,223.0,0.1884215145,0.1122193471,1.6712474884,0.1315640002,0.0701355205,0.0395766055,0.0178397204,0.0029041723,0.1782968531766994,C11H12O5,PUCs,Lignin-like,Not Matched,CRAM,
223.098091,5491010.0,12,16,4,0,0,0,0,0,0.345477835002306,1,223.097511214005,223.097505111858,224.104781578738,43.74,454787.1,0.0285756807546372,288,CHO,Altamaha_PP48_000107-4_p08,5.0,1.0,0.125,0.3,0.33333,1.33333,0.0,0.0,,,-0.66667,79.3,0.33333,223.0,0.1520771423,0.1486127589,1.6351449904,0.1679605675,0.0337718538,0.0759581681,0.0185324766,0.0334704609,0.14925650750796782,C12H16O4,PUCs,Lignin-like,Not Matched,CRAM,
223.134439,1391427.6,13,20,3,0,0,0,0,0,0.439367145627887,1,223.133859106985,223.133869561121,224.141146028001,9.18,493867.4,0.0072411069895686,289,CHO,Altamaha_PP48_000107-4_p08,4.0,1.0,0.1,0.21739,0.23077,1.53846,0.0,0.0,,,-1.07692,90.99231,0.23077,223.0,0.1157327702,0.1850061707,1.5990424925,0.2043571348,0.0025918128,0.1123397307,0.0549046736,0.0698450941,0.12846474599230542,C13H20O3,UAAs,Lipid-like,Not Matched,CRAM,
224.056956,1824629.5,10,11,5,1,0,0,0,0,0.281434855801339,1,224.056373388045,224.056382661144,225.063659128024,12.8,459931.9,0.0094955263398706,290,CHON,Altamaha_PP48_000107-4_p08,6.0,1.0,0.0,0.38462,0.5,1.1,0.1,0.0,inf,0.0,0.2,54.6,0.6,224.0,0.1937370498,0.1082459449,1.6831827154,0.1276769572,0.0749229986,0.0352789087,0.0223937375,0.0073915135,0.2133741035174546,C10H11O5N,PUCs,Lignin-like,Not Matched,CRAM,
225.004566,1135021.0,9,6,7,0,0,0,0,0,0.395493106840438,2,225.003980589613,225.003986694488,226.011263161368,7.0,556894.9,0.0059067453429895,291,CHO,Altamaha_PP48_000107-4_p08,7.0,0.0,0.0,0.63636,0.77778,0.66667,0.0,0.0,,,0.88889,34.96667,0.77778,225.0,0.2477109517,0.0555485211,1.7434524843,0.075061668,0.1283946751,0.0177269458,0.0756433735,0.0605777353,0.2744195220401647,C9H6O7,PPAs,Polyphenol-like,Not Matched,,
225.023158,1138222.1,10,10,4,0,0,1,0,0,0.313676405774443,1,225.022572534652,225.022632132248,226.029908599128,7.03,461074.9,0.0059234041383047,292,CHOS,Altamaha_PP48_000107-4_p08,6.0,2.0,0.2,0.42857,0.4,1.0,0.0,0.0,,,0.0,60.3,0.4,225.0,0.2285601796,0.0747251334,1.7244291619,0.094239943,0.1092337363,0.0014434228,0.0564779399,0.041411018,0.20130874466940799,C10H10O4S,PUCs,Lignin-like,Not Matched,CRAM,
225.040993,6798255.0,10,10,6,0,0,0,0,0,0.24530403728491,1,225.040407481926,225.040406136297,226.047682603177,54.59,460124.8,0.035378694369272,293,CHO,Altamaha_PP48_000107-4_p08,6.0,0.0,0.0,0.42857,0.6,1.0,0.0,0.0,,,0.2,54.6,0.6,225.0,0.2113665795,0.0919419329,1.7073499864,0.1114582353,0.0920310085,0.0186546168,0.0392711765,0.0242031021,0.21148726902444087,C10H10O6,PUCs,Lignin-like,Not Matched,CRAM,
225.077347,10721201.0,11,14,5,0,0,0,0,0,0.33566986018725,1,225.076761374447,225.076771203394,226.084047670274,87.56,453422.0,0.0557940373596656,294,CHO,Altamaha_PP48_000107-4_p08,5.0,0.0,0.0,0.29412,0.45455,1.27273,0.0,0.0,,,-0.36364,70.66364,0.45455,225.0,0.1750222073,0.1283353448,1.6712474884,0.1478548026,0.0556673418,0.0550361793,0.0028989796,0.0121715311,0.17203477074828494,C11H14O5,PUCs,Lignin-like,Not Matched,CRAM,
226.072652,1681649.1,10,13,5,1,0,0,0,0,0.307928544365202,1,226.072063428629,226.072026141899,227.079302608779,11.59,500476.5,0.008751444237567,297,CHON,Altamaha_PP48_000107-4_p08,5.0,0.0,0.0,0.23077,0.5,1.3,0.1,0.0,inf,0.0,0.0,60.3,0.6,226.0,0.1803377426,0.1243619426,1.6831827154,0.1439677597,0.0604548199,0.0507384825,0.0074529966,0.0076841899,0.20493017929394064,C10H13O5N,PUCs,Lignin-like,Not Matched,CRAM,
227.020225,1889843.0,9,8,7,0,0,0,0,0,0.300866677613473,1,227.019633618257,227.019657538893,228.026934005773,13.34,498456.4,0.0098349029130134,298,CHO,Altamaha_PP48_000107-4_p08,6.0,-1.0,0.0,0.45455,0.77778,0.88889,0.0,0.0,,,0.66667,41.3,0.77778,227.0,0.2343116445,0.0716645188,1.7434524843,0.0913524705,0.1139264965,0.002267372,0.0607026327,0.0455020319,0.2603271770514549,C9H8O7,PUCs,Tannin-like,Not Matched,CRAM,
227.056603,11932726.0,10,12,6,0,0,0,0,0,0.38386410843284,1,227.056011510251,227.056024105571,228.063300572451,97.74,438340.6,0.0620989159933344,300,CHO,Altamaha_PP48_000107-4_p08,5.0,-1.0,0.0,0.28571,0.6,1.2,0.0,0.0,,,0.0,60.3,0.6,227.0,0.1979672723,0.1080579307,1.7073499864,0.1277490377,0.0775628298,0.0341141906,0.0243304357,0.0091273987,0.2030175956387023,C10H12O6,PUCs,Lignin-like,Not Matched,CRAM,
227.092988,7991352.5,11,16,5,0,0,0,0,0,0.402535956339177,1,227.092396402216,227.092405338859,228.099681805739,64.62,441805.9,0.0415876747333864,301,CHO,Altamaha_PP48_000107-4_p08,4.0,-1.0,0.0,0.17647,0.45455,1.45455,0.0,0.0,,,-0.54545,75.84545,0.45455,227.0,0.1616229001,0.1444513425,1.6712474884,0.164145605,0.0411991632,0.0704957532,0.0120417613,0.0272472345,0.16638816558868946,C11H16O5,PUCs,Lignin-like,Not Matched,CRAM,
227.129408,2335035.0,12,20,4,0,0,0,0,0,0.180618366002881,1,227.128816294069,227.12884145794,228.13611792482,17.08,462337.9,0.0121517197584605,302,CHO,Altamaha_PP48_000107-4_p08,3.0,-1.0,0.0,0.1,0.33333,1.66667,0.0,0.0,,,-1.0,88.8,0.33333,227.0,0.1252785279,0.1808447543,1.6351449904,0.2005421723,0.0048354965,0.1068773157,0.0484139583,0.0636218678,0.14095616343858786,C12H20O4,UAAs,Aliphatic-like,Not Matched,,
229.018224,1735889.0,9,10,5,0,0,1,0,0,0.113744493138155,1,229.017626673676,229.017591490555,230.024867957435,11.97,450764.5,0.0090337132675931,306,CHOS,Altamaha_PP48_000107-4_p08,5.0,0.0,0.0,0.27273,0.55556,1.11111,0.0,0.0,,,0.22222,53.96667,0.55556,229.0,0.2381059374,0.070563717,1.7605316599,0.0904249806,0.1166610456,0.0040189921,0.0629686551,0.0476342443,0.23377258632308828,C9H10O5S,PUCs,Lignin-like,Not Matched,CRAM,
229.035901,3344082.5,9,10,7,0,0,0,0,0,0.369746646859598,1,229.035303620968,229.035291151321,230.042567618201,25.41,439018.2,0.0174028883460728,307,CHO,Altamaha_PP48_000107-4_p08,5.0,-2.0,0.0,0.27273,0.77778,1.11111,0.0,0.0,,,0.44444,47.63333,0.77778,229.0,0.2209123373,0.0877805165,1.7434524843,0.1076432729,0.0994583178,0.0131922018,0.0457618918,0.0304263285,0.24761151156869377,C9H10O7,PUCs,Tannin-like,Not Matched,,
229.072269,9596118.0,10,14,6,0,0,0,0,0,0.365081589526036,1,229.071671512522,229.071677717499,230.078954184379,77.63,459377.6,0.0499390102097479,308,CHO,Altamaha_PP48_000107-4_p08,4.0,-2.0,0.0,0.14286,0.6,1.4,0.0,0.0,,,-0.2,66.0,0.6,229.0,0.1845679651,0.1241739284,1.7073499864,0.1440398402,0.0630946511,0.0495737644,0.0093896948,0.0059483047,0.19580678542323915,C10H14O6,PUCs,Lignin-like,Not Matched,,
229.108607,2594008.8,11,18,5,0,0,0,0,0,0.455297680574409,1,229.108009404156,229.108042450401,230.115318917281,19.14,492468.0,0.0134994413311066,309,CHO,Altamaha_PP48_000107-4_p08,3.0,-2.0,0.0,0.05882,0.45455,1.63636,0.0,0.0,,,-0.72727,81.02727,0.45455,229.0,0.1482235929,0.1605673402,1.6712474884,0.1804364074,0.0267309845,0.085955327,0.0269825022,0.042322938,0.1611004517272444,C11H18O5,UAAs,Aliphatic-like,Not Matched,,
